index_row,reason,model_name,candidate_id,evidence_faithfulness,attribution_caution,manufacturing_process_relevance,overall_score,rank
2163,미성형 => Unshaped,google/gemini-3.1-flash-lite,Candidate A,4,4,4,4.0,2
2163,미성형 => Unshaped,openai/gpt-5.4-mini,Candidate B,3,3,4,3.3333333333333335,3
2163,미성형 => Unshaped,mistralai/devstral-2512,Candidate C,4,4,5,4.333333333333333,1
2177,미성형 => Unshaped,google/gemini-3.1-flash-lite,Candidate A,4,5,4,4.333333333333333,2
2177,미성형 => Unshaped,openai/gpt-5.4-mini,Candidate B,5,4,5,4.666666666666667,1
2177,미성형 => Unshaped,mistralai/devstral-2512,Candidate C,3,4,4,3.6666666666666665,3
4726,미성형 => Unshaped,openai/gpt-5.4-mini,Candidate A,4,3,4,3.6666666666666665,2
4726,미성형 => Unshaped,mistralai/devstral-2512,Candidate B,4,4,5,4.333333333333333,1
4726,미성형 => Unshaped,google/gemini-3.1-flash-lite,Candidate C,3,4,4,3.6666666666666665,3
5183,가스 => Gas,google/gemini-3.1-flash-lite,Candidate A,4,4,4,4.0,2
5183,가스 => Gas,mistralai/devstral-2512,Candidate B,4,3,5,4.0,1
5183,가스 => Gas,openai/gpt-5.4-mini,Candidate C,3,3,4,3.3333333333333335,3
5185,가스 => Gas,mistralai/devstral-2512,Candidate A,4,4,4,4.0,3
5185,가스 => Gas,openai/gpt-5.4-mini,Candidate B,5,4,5,4.666666666666667,1
5185,가스 => Gas,google/gemini-3.1-flash-lite,Candidate C,4,5,4,4.333333333333333,2
5188,미성형 => Unshaped,mistralai/devstral-2512,Candidate A,3,2,4,3.0,2
5188,미성형 => Unshaped,openai/gpt-5.4-mini,Candidate B,4,3,5,4.0,1
5188,미성형 => Unshaped,google/gemini-3.1-flash-lite,Candidate C,2,2,4,2.6666666666666665,3
5190,미성형 => Unshaped,openai/gpt-5.4-mini,Candidate A,4,3,4,3.6666666666666665,1
5190,미성형 => Unshaped,mistralai/devstral-2512,Candidate B,3,2,4,3.0,2
5190,미성형 => Unshaped,google/gemini-3.1-flash-lite,Candidate C,2,4,3,3.0,3
5192,가스 => Gas,openai/gpt-5.4-mini,Candidate A,5,5,5,5.0,1
5192,가스 => Gas,mistralai/devstral-2512,Candidate B,5,5,4,4.666666666666667,2
5192,가스 => Gas,google/gemini-3.1-flash-lite,Candidate C,4,5,4,4.333333333333333,3
5205,가스 => Gas,mistralai/devstral-2512,Candidate A,4,4,5,4.333333333333333,2
5205,가스 => Gas,openai/gpt-5.4-mini,Candidate B,4,3,5,4.0,1
5205,가스 => Gas,google/gemini-3.1-flash-lite,Candidate C,3,5,4,4.0,3
5207,가스 => Gas,google/gemini-3.1-flash-lite,Candidate A,2,3,4,3.0,2
5207,가스 => Gas,openai/gpt-5.4-mini,Candidate B,4,2,4,3.3333333333333335,1
5207,가스 => Gas,mistralai/devstral-2512,Candidate C,2,2,3,2.3333333333333335,3
